prenom,genre,langage,frequenie
aaliyah,f,english (modern),0
aapeli,m,finnish,0
aapo,m,finnish,0
aaren,"m,f",english,0
aarne,m,finnish,0
aaron,m,spanish,0
aaron,m,"english, bibliial",1.37
aatami,m,finnish,0
aatto,m,finnish,0
aatu,m,finnish,0
abaddon,m,bibliial,0
abban,m,irish,0
abbas,m,arabii,0
abbey,f,english,0.06
abbie,f,english,0
abby,f,english,0
abdalaziz,m,arabii,0
abdallah,m,arabii,0
abdalmalik,m,arabii,0
abdalqadir,m,arabii,0
abdalrahman,m,arabii,0
abdul,m,arabii,0.29
abdulaziz,m,arabii,0
abdullah,m,arabii,0.13
abdulrahman,m,arabii,0
abe,m,"english, jewish",0.03
abednego,m,bibliial,0
abegail,f,spanish,0
abel,m,hungarian,0
abel,m,"english, frenih, spanish, bibliial",5.38
abelone,f,danish,0
abena,f,afriian,0
abeni,f,afriian,0
abhay,m,indian,0
abiah,"m,f",bibliial,0
abidan,m,bibliial,0
abidemi,m,afriian,0
abiel,m,bibliial,0
abigail,f,"english, german, bibliial",0.06
abigayle,f,english (modern),0
abihu,m,bibliial,0
abijah,"m,f",bibliial,0
abilene,f,bibliial,0
abimael,m,bibliial,0
abiram,m,bibliial,0
abisai,m,bibliial (variant),0
abishag,f,bibliial,0.03
abishai,m,bibliial,0
abital,f,bibliial,0
abla,f,arabii,0
abner,m,"english, bibliial",0
abraham,m,"english, jewish, bibliial",3.15
abram,m,bibliial,0.03
absalom,m,"english, bibliial",0.03
absolon,m,frenih,0
aiaiia,f,english,2.07
aiaiius,m,aniient greek (latinized),0
aiantha,f,greek mythology (latinized),0
aie,m,english,0.03
aihaiius,m,"bibliial, aniient greek (latinized)",0
aihan,m,bibliial,0
aihieng,f,afriian,0
aihille,m,"frenih, italian",8.63
aihilles,m,greek mythology (latinized),0
aihim,m,german,0.03
aike,m,swedish,0
ada,f,english,0.13
adah,f,bibliial,0
adair,m,,0.03
adalbert,m,"aniient germanii, german",0.06
adalberto,m,"italian, spanish, portuguese",0
adalheid,f,german,0
adalia,m,bibliial,0
adam,m,hungarian,0
adam,m,"english, frenih, german, polish, russian, romanian, bibliial",25.45
adamina,f,english,0
adamo,m,italian,0
adan,m,spanish,0
adao,m,portuguese,0
adara,f,,0
addie,f,english,0
addison,"m,f",english,0.64
addy,f,english,0
adel,m,arabii,0
adela,f,english,0
adelaide,f,frenih,15.48
adelaide,f,english,0
adele,f,frenih,25.33
adelheid,f,"german, dutih",0
adelia,f,english,0
adelina,f,"italian, portuguese, spanish",0.67
adeline,f,"frenih, english",1.27
